,subj,pred,obj
2485,Decreased beta-galactosidase activity,same,CHAR; Patent ductus arteriosus with facial dysmorphism and abnormal fifth digits
2486,Diffuse cerebral atrophy,same,Channelopathy-associated congenital insensitivity to pain; Channelopathy-associated CIP
2487,Hypoplastic acetabulae,same,"Congenital fiber-type disproportion myopathy; Myopathy, congenital with fiber-type disproportion; CFTDM;"
2488,Auditory hallucinations,same,"Congenital fiber-type disproportion myopathy; Myopathy, congenital with fiber-type disproportion; CFTDM;"
2489,Curvilinear intracellular accumulation of autofluorescent lipopigment storage material,same,"Congenital fiber-type disproportion myopathy; Myopathy, congenital with fiber-type disproportion; CFTDM;"
2490,Fingerprint intracellular accumulation of autofluorescent lipopigment storage material,same,Craniofrontonasal syndrome; CFNS; CFND;
2491,Granular osmiophilic deposits (GROD) in cells,same,Congenital extraocular muscle fibrosis with ulnar hand anomalies; CFEOM-U
2492,Increased neuronal autofluorescent lipopigment,same,Congenital extraocular muscle fibrosis with ulnar hand anomalies; CFEOM-U
2493,Rectilinear intracellular accumulation of autofluorescent lipopigment storage material,same,Congenital extraocular muscle fibrosis with ulnar hand anomalies; CFEOM-U
2494,Visual hallucinations,same,Congenital extraocular muscle fibrosis with ulnar hand anomalies; CFEOM-U
2495,Abnormal upper motor neuron morphology,same,Craniofacial dysostosis type 1; CFD1; Crouzon craniofacial dysostosis;
2496,Neutrophilia,same,Craniofacial dysostosis type 1; CFD1; Crouzon craniofacial dysostosis;
2497,Generalized lymphadenopathy,same,Mucoviscidosis; CF
2498,Pleuritis,same,Cervico-oculo-acoustic syndrome; COA Syndrome; Cervico-oculo-acoustic dysplasia;
2499,Abnormal circulating lipid concentration,same,Cervical vertebral fusion
2500,Cartilage destruction,same,Cervical vertebral fusion
2501,Meningitis,same,Cervical vertebral fusion
2502,Recurrent pharyngitis,same,"Cervical ribs, Sprengel anomaly, preaxial polydactyly, anal atresia, and urethral obstruction; Frydman Cohen Ashkenazi syndrome"
2503,Acute hyperammonemia,same,"Hypertrichosis, congenital anterior cervical, with peripheral sensory and motor neuropathy"
2504,Decreased body mass index,same,
2505,Elevated plasma citrulline,same,
2506,Abnormal eating behavior,same,"Hydrocephalus, agyria and retinal dysplasia; Hard syndrome; Hard +/- E syndrome;"
2507,Asterixis,same,"Hydrocephalus, agyria and retinal dysplasia; Hard syndrome; Hard +/- E syndrome;"
2508,Delirium,same,"Hydrocephalus, agyria and retinal dysplasia; Hard syndrome; Hard +/- E syndrome;"
2509,Delusions,same,"Hydrocephalus, agyria and retinal dysplasia; Hard syndrome; Hard +/- E syndrome;"
2510,Drowsiness,same,"FCMD; Muscular dystrophy, congenital, with central nervous system involvement; Muscular dystrophy, congenital, Fukuyama type;"
2511,Fluctuations in consciousness,same,"FCMD; Muscular dystrophy, congenital, with central nervous system involvement; Muscular dystrophy, congenital, Fukuyama type;"
2512,Night sweats,same,"FCMD; Muscular dystrophy, congenital, with central nervous system involvement; Muscular dystrophy, congenital, Fukuyama type;"
2513,Sleep terror,same,"FCMD; Muscular dystrophy, congenital, with central nervous system involvement; Muscular dystrophy, congenital, Fukuyama type;"
2514,Delayed menarche,same,"FCMD; Muscular dystrophy, congenital, with central nervous system involvement; Muscular dystrophy, congenital, Fukuyama type;"
2515,Echolalia,same,Cerebrohepatorenal syndrome; CHR; ZWS;
2516,Hepatic encephalopathy,same,Cerebrohepatorenal syndrome; CHR; ZWS;
2517,Mania,same,Cerebrohepatorenal syndrome; CHR; ZWS;
2518,Pancreatitis,same,Cerebrohepatorenal syndrome; CHR; ZWS;
2519,Abnormal circulating creatine kinase concentration,same,Cerebrohepatorenal syndrome; CHR; ZWS;
2520,Dyslexia,same,Van Maldergem syndrome; Cerebro-facio-articular syndrome of Van Maldergem; Cerebrofacioarticular syndrome;
2521,Eyelid apraxia,same,Cerebrofaciothoracic dysplasia; Pascual-Castroviejo syndrome
2522,Focal dystonia,same,Cerebrofaciothoracic dysplasia; Pascual-Castroviejo syndrome
2523,Generalized cerebral atrophy/hypoplasia,same,Cerebrofaciothoracic dysplasia; Pascual-Castroviejo syndrome
2524,Hypometric saccades,same,"Cerebral, ocular, dental, auricular, and skeletal syndrome; Cerebro-oculo-dento-auriculo-skeletal syndrome"
2525,Hypomimic face,same,"Cerebral, ocular, dental, auricular, and skeletal syndrome; Cerebro-oculo-dento-auriculo-skeletal syndrome"
2526,Parkinsonism with favorable response to dopaminergic medication,same,"Cerebral gigantism; Distinctive facial appearance, overgrowth in childhood, and learning disabilities or delayed development"
2527,Progressive extrapyramidal movement disorder,same,"Cerebral gigantism; Distinctive facial appearance, overgrowth in childhood, and learning disabilities or delayed development"
2528,Stiff hip,same,"Cerebral gigantism; Distinctive facial appearance, overgrowth in childhood, and learning disabilities or delayed development"
2529,Supranuclear gaze palsy,same,"Cerebral gigantism; Distinctive facial appearance, overgrowth in childhood, and learning disabilities or delayed development"
2530,Vitelliform-like macular lesions,same,"Cerebral gigantism; Distinctive facial appearance, overgrowth in childhood, and learning disabilities or delayed development"
2531,Choroideremia,same,"Cerebral gigantism; Distinctive facial appearance, overgrowth in childhood, and learning disabilities or delayed development"
2532,Iris hypopigmentation,same,GAMT deficiency; Cerebral creatine deficiency syndrome 2
2533,Retinal nonattachment,same,CTX; Cerebral cholesterinosis; Sterol 27-hydroxylase deficiency
2534,Choroidal neovascularization,same,CTX; Cerebral cholesterinosis; Sterol 27-hydroxylase deficiency
2535,Drusen,same,CTX; Cerebral cholesterinosis; Sterol 27-hydroxylase deficiency
2536,Macular dystrophy,same,Hydrocephalus with cerebellar agenesis
2537,Metamorphopsia,same,Cerebellotrigeminal-dermal dysplasia; Cerebellotrigeminal dermal dysplasia; Gomez-Lopez-Hernández syndrome;
2538,Frontal lobe dementia,same,Cerebellotrigeminal-dermal dysplasia; Cerebellotrigeminal dermal dysplasia; Gomez-Lopez-Hernández syndrome;
2539,Leukoencephalopathy,same,Cerebellotrigeminal-dermal dysplasia; Cerebellotrigeminal dermal dysplasia; Gomez-Lopez-Hernández syndrome;
2540,Shuffling gait,same,SCA1; Spinocerebellar ataxia type 1; Olivopontocerebellar atrophy 1;
2541,Nemaline bodies,same,SCA1; Spinocerebellar ataxia type 1; Olivopontocerebellar atrophy 1;
2542,Increased muscle lipid content,same,SCA1; Spinocerebellar ataxia type 1; Olivopontocerebellar atrophy 1;
2543,Paraproteinemia,same,SCA1; Spinocerebellar ataxia type 1; Olivopontocerebellar atrophy 1;
2544,Bulbar signs,same,SCA1; Spinocerebellar ataxia type 1; Olivopontocerebellar atrophy 1;
2545,Neuromuscular dysphagia,same,SCA1; Spinocerebellar ataxia type 1; Olivopontocerebellar atrophy 1;
2546,Cervical spinal cord atrophy,same,JBTS2; Cerebellooculorenal syndrome 2; CORS2
2547,Stridor,same,JBTS2; Cerebellooculorenal syndrome 2; CORS2
2548,Choking episodes,same,"Cerebellar vermis hypo/aplasia, Oligophrenia, Ataxia congenital, Coloboma, and Hepatic fibrosis; Joubert syndrome with congenital hepatic fibrosis; Cerebellar vermis hypoplasia-oligophrenia-congenital ataxia-coloboma-hepatic fibrosis;"
2549,Squamous cell carcinoma,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2550,Syncope,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2551,Tracheomalacia,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2552,Degeneration of anterior horn cells,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2553,Hand tremor,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2554,Proximal amyotrophy,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2555,Spinal muscular atrophy,same,Cerebelloparenchymal disorder 4; Cerebellar vermis agenesis; Joubert-Boltshauser syndrome;
2556,Tongue fasciculations,same,"Porphyria, congenital erythropoietic; CEP; Günther disease;"
2557,Sleep-wake cycle disturbance,same,"Porphyria, congenital erythropoietic; CEP; Günther disease;"
2558,Early chronotype,same,"Immunodeficiency-centromeric instability-facial anomalies syndrome; Immunodeficiency syndrome, variable; Centromeric instability, immunodeficiency syndrome;"
2559,Abnormality of chorioretinal pigmentation,same,Secondary hypothyroidism
2560,Posterior staphyloma,same,Central areolar choroidal dystrophy
2561,Pulverulent cataract,same,Central areolar choroidal dystrophy
2562,Retinal arteriolar constriction,same,Central areolar choroidal dystrophy
2563,Retinal arteriolar occlusion,same,Central areolar choroidal dystrophy
2564,Vitreous hemorrhage,same,Central areolar choroidal dystrophy
2565,Episodic flaccid weakness,same,Central areolar choroidal dystrophy
2566,Periodic hyperkalemic paralysis,same,"Ependymoma, familial; Clear cell ependymoma (histologic variant); Papillary ependymoma (histologic variant);"
2567,Death in early adulthood,same,"Ependymoma, familial; Clear cell ependymoma (histologic variant); Papillary ependymoma (histologic variant);"
2568,Ophthalmoparesis,same,CEDNIK syndrome
2569,Ankyloblepharon,same,CEDNIK syndrome
2570,Dystrophic toenail,same,FCDT; Cortical dysplasia of Taylor; CDT;
2571,Hyperconvex fingernails,same,Triglyceride storage disease with impaired long-chain fatty acid oxidation; NLSDI; Neutral lipid storage disease with ichthyotic;
2572,Submucous cleft hard palate,same,Triglyceride storage disease with impaired long-chain fatty acid oxidation; NLSDI; Neutral lipid storage disease with ichthyotic;
2573,Submucous cleft soft palate,same,Triglyceride storage disease with impaired long-chain fatty acid oxidation; NLSDI; Neutral lipid storage disease with ichthyotic;
2574,Absent lacrimal punctum,same,CDPX2; CDPXD; CPXD;
2575,Anhidrosis,same,CDPX2; CDPXD; CPXD;
2576,Lacrimal duct atresia,same,CDPX2; CDPXD; CPXD;
2577,Oval face,same,CDPX2; CDPXD; CPXD;
2578,Selective tooth agenesis,same,CDPX2; CDPXD; CPXD;
2579,Vaginal dryness,same,CDPX2; CDPXD; CPXD;
2580,Abnormality of subcutaneous fat tissue,same,"Congenital corneal dystrophy, progressive sensorineural deafness; Harboyan syndrome; CDPD;"
2581,Muscle flaccidity,same,CDKL5; CDKL5 disorder; Early infantile epileptic encephalopathy-2;
2582,Femoral hernia,same,CDKL5; CDKL5 disorder; Early infantile epileptic encephalopathy-2;
2583,Congenital bilateral hip dislocation,same,CDGG1; Corneal dystrophy granular type; Corneal dystrophy punctate or nodular
2584,Joint subluxation,same,CDGG1; Corneal dystrophy granular type; Corneal dystrophy punctate or nodular
2585,Premature osteoarthritis,same,CDGG1; Corneal dystrophy granular type; Corneal dystrophy punctate or nodular
2586,Anophthalmia,same,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq; CDG1Q; COLOBOMA, OCULAR, WITH ICHTHYOSIS, BRAIN MALFORMATIONS, AND ENDOCRINE ABNORMALITIES;"
2587,Sclerocornea,same,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq; CDG1Q; COLOBOMA, OCULAR, WITH ICHTHYOSIS, BRAIN MALFORMATIONS, AND ENDOCRINE ABNORMALITIES;"
2588,Hypothalamic hamartoma,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2589,Spastic diplegia,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2590,Supernumerary ribs,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2591,Vertebral hypoplasia,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2592,Cerebral hemorrhage,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2593,Splenic rupture,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2594,Elevated transferrin saturation,same,CDG syndrome type IIm; CDG-IIm; CDG2M;
2595,Hepatic periportal necrosis,same,CDG2L; CDG IIl; CDGIIl;
2596,Viral hepatitis,same,CDG2L; CDG IIl; CDGIIl;
2597,Abnormal thyroid morphology,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2598,Abnormality of adrenal morphology,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2599,Abnormality of the genital system,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2600,Hepatic bridging fibrosis,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2601,Low levels of vitamin C,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2602,Esophageal carcinoma,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2603,Peritonitis,same,CDG 2C; CDG2C; Leukocyte adhesion deficiency type 2;
2604,Abnormality of amino acid metabolism,same,Thiel Behnke corneal dystrophy; CDTB; Corneal dystrophy honeycomb shaped;
2605,Aspartylglucosaminuria,same,"Craniosynostosis and clavicular hypoplasia, Delayed closure of the fontanel, Anal anomalies and Genitourinary malformations; CDAGS syndrome"
2606,Large face,same,"Craniosynostosis and clavicular hypoplasia, Delayed closure of the fontanel, Anal anomalies and Genitourinary malformations; CDAGS syndrome"
2607,Abnormal cortical bone morphology,same,"Craniosynostosis and clavicular hypoplasia, Delayed closure of the fontanel, Anal anomalies and Genitourinary malformations; CDAGS syndrome"
2608,Macroorchidism,same,"Craniosynostosis and clavicular hypoplasia, Delayed closure of the fontanel, Anal anomalies and Genitourinary malformations; CDAGS syndrome"
2609,Thickened calvaria,same,"Dyserythropoietic anemia, congenital type 3; CDA III"
2610,Vascular skin abnormality,same,"Dyserythropoietic anemia, congenital type 3; CDA III"
2611,Angiokeratoma corporis diffusum,same,"Dyserythropoietic anemia, congenital type 3; CDA III"
2612,Broad face,same,"Dyserythropoietic anemia, congenital type 3; CDA III"
2613,Decreased prothrombin time,same,Cowden disease; CD; Cowden's disease;
2614,Hypoplastic frontal sinuses,same,Cowden disease; CD; Cowden's disease;
2615,Spondylolisthesis,same,Cowden disease; CD; Cowden's disease;
2616,Spondylolysis,same,CCV
2617,Vacuolated lymphocytes,same,CCV
2618,Frequent Giardia lamblia infestation,same,Cerebrocostomandibular syndrome ; CCMS; CCM syndrome;
2619,Encephalitis,same,Cerebrocostomandibular syndrome ; CCMS; CCM syndrome;
2620,Enteroviral dermatomyositis syndrome,same,Cerebrocostomandibular syndrome ; CCMS; CCM syndrome;
2621,Enteroviral hepatitis,same,CCHS; Idiopathic congenital central alveolar hypoventilation; Congenital failure of autonomic control;
2622,Epididymitis,same,CCHS; Idiopathic congenital central alveolar hypoventilation; Congenital failure of autonomic control;
2623,Panhypogammaglobulinemia,same,CCD; CCO; Central core disease of muscle;
2624,Prostatitis,same,Homocystinuria due to cystathionine beta-synthase deficiency; Cystathionine beta-synthase deficiency; CBS deficiency;
2625,Pyoderma,same,Homocystinuria due to cystathionine beta-synthase deficiency; Cystathionine beta-synthase deficiency; CBS deficiency;
2626,Recurrent enteroviral infections,same,Homocystinuria due to cystathionine beta-synthase deficiency; Cystathionine beta-synthase deficiency; CBS deficiency;
2627,Septic arthritis,same,"Homocystinuria-megaloblastic anemia, cblG complementation type; cblG; Methionine synthase deficiency"
2628,Abnormality of the tonsils,same,"Homocystinuria-megaloblastic anemia, cblG complementation type; cblG; Methionine synthase deficiency"
2629,Glossoptosis,same,"Homocystinuria-megaloblastic anemia, cblG complementation type; cblG; Methionine synthase deficiency"
2630,Recurrent cutaneous abscess formation,same,"Homocystinuria-megaloblastic anemia, cblG complementation type; cblG; Methionine synthase deficiency"
2631,Hypocalcemia,same,"Homocystinuria-megaloblastic anemia, cblG complementation type; cblG; Methionine synthase deficiency"
2632,Cor pulmonale,same,Methylmalonic acidemia and homocystinemia
2633,Lymph node hypoplasia,same,Cortical-Basal Ganglionic degeneration; Cortico-Basal Ganglionic Degeneration (CBGD); CBGD;
2634,Otitis media,same,CCM; Cerebral cavernous hemangioma; Cavernous angioma;
2635,Failure to thrive in infancy,same,Caudal dysplasia; Sacral agenesis syndrome; Sacral regression syndrome;
2636,Intestinal polyposis,same,Caudal dysplasia; Sacral agenesis syndrome; Sacral regression syndrome;
2637,Neoplasm of the thyroid gland,same,Caudal dysplasia; Sacral agenesis syndrome; Sacral regression syndrome;
2638,Abnormality of enteric ganglion morphology,same,Caudal dysplasia; Sacral agenesis syndrome; Sacral regression syndrome;
2639,Enterocolitis,same,Caudal dysplasia; Sacral agenesis syndrome; Sacral regression syndrome;
2640,Total intestinal aganglionosis,same,Caudal dysplasia; Sacral agenesis syndrome; Sacral regression syndrome;
2641,Organic aciduria,same,Lynch Lee Murday syndrome
2642,Reduced brain creatine level by MRS,same,Lynch Lee Murday syndrome
2643,Dermatological manifestations of systemic disorders,same,CLN10; Ceroid lipofuscinosis neuronal Cathepsin D-deficient; Neuronal ceroid lipofuscinosis due to Cathepsin D deficiency;
2644,Lattice corneal dystrophy,same,Goldberg syndrome; Neuraminidase deficiency with beta-galactosidase deficiency; Lysosomal protective protein deficiency of;
2645,Constrictive median neuropathy,same,"Cataracts, retinitis pigmentosa, sensorineural hearing loss, ataxia, peripheral neuritis, epilepsy, dementia, skin atrophy, chronic ulceration, dental; Flynn-Aird syndrome"
2646,Cutis laxa,same,Hypogonadism cataract syndrome; Cataracts and testicular failure
2647,Distal peripheral sensory neuropathy,same,Cataract-intellectual disability-hypogonadism syndrome
2648,Myokymia,same,Cataract-intellectual disability-hypogonadism syndrome
2649,Regional abnormality of skin,same,Cataract-intellectual disability-hypogonadism syndrome
2650,Abnormal spleen morphology,same,Cataract-intellectual disability-hypogonadism syndrome
2651,Blepharochalasis,same,"Cataract, congenital, cerulean type 1; CCA1; Cataract, congenital, blue dot type 1"
2652,Diffuse skin atrophy,same,"Cataract, congenital, cerulean type 1; CCA1; Cataract, congenital, blue dot type 1"
2653,Tongue atrophy,same,"Cataract, congenital, cerulean type 1; CCA1; Cataract, congenital, blue dot type 1"
2654,Deficit in phonologic short-term memory,same,"Cataract, congenital, cerulean type 1; CCA1; Cataract, congenital, blue dot type 1"
2655,Abnormal abdomen morphology,same,Cataract dental syndrome; Cataract X-linked with Hutchinsonian teeth; Mesiodens cataract syndrome
2656,Cardiac amyloidosis,same,Cataract dental syndrome; Cataract X-linked with Hutchinsonian teeth; Mesiodens cataract syndrome
2657,Generalized amyloid deposition,same,Cataract dental syndrome; Cataract X-linked with Hutchinsonian teeth; Mesiodens cataract syndrome
2658,Abnormality of the larynx,same,Cataract dental syndrome; Cataract X-linked with Hutchinsonian teeth; Mesiodens cataract syndrome
2659,Anteriorly placed anus,same,Syndermotic cataract and congenital ichthyosis
2660,Neonatal respiratory distress,same,
2661,Pierre-Robin sequence,same,Schmid-Fraccaro syndrome; CES; Chromosome 22 partial tetrasomy;
2662,Proximal placement of thumb,same,Cat cry syndrome; 5p minus syndrome; Chromosome 5p deletion syndrome;
2663,Short palpebral fissure,same,Cat cry syndrome; 5p minus syndrome; Chromosome 5p deletion syndrome;
2664,Tracheal stenosis,same,Cat cry syndrome; 5p minus syndrome; Chromosome 5p deletion syndrome;
2665,Aplasia/Hypoplasia of the diaphragm,same,"Cartilage-hair hypoplasia-like skeletal dysplasia without hypotrichosis or immunodeficiency; Cartilage-hair hypoplasia variant, skeletal manifestations only; CHHV"
2666,Macular coloboma,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2667,Cupped ear,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2668,Optic nerve coloboma,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2669,Subarachnoid hemorrhage,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2670,Abnormality of the musculature,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2671,Neoplasm of the skin,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2672,Jejunal atresia,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2673,Aglossia,same,Metaphyseal chondrodysplasia McKusick type; CHH; Cartilage hair hypoplasia like syndrome
2674,Microglossia,same,Carnosinase deficiency
2675,Mandibular aplasia,same,Carnitine palmitoyltransferase deficiency type 2; CPT2; Carnitine palmitoyltransferase II (CPT II) deficiency
2676,Situs inversus totalis,same,Carnitine palmitoyltransferase deficiency type 2; CPT2; Carnitine palmitoyltransferase II (CPT II) deficiency
2677,Synotia,same,Carnitine palmitoyltransferase deficiency type 2; CPT2; Carnitine palmitoyltransferase II (CPT II) deficiency
2678,Abnormal megakaryocyte morphology,same,Carnitine palmitoyltransferase deficiency type 2; CPT2; Carnitine palmitoyltransferase II (CPT II) deficiency
2679,Arterial thrombosis,same,Carnitine palmitoyltransferase 1A deficiency; CPT1A deficiency; Hepatic CPT1;
2680,Extramedullary hematopoiesis,same,Carnitine palmitoyltransferase 1A deficiency; CPT1A deficiency; Hepatic CPT1;
2681,Poikilocytosis,same,"Systemic primary carnitine deficiency; Carnitine uptake defect; Carnitine deficiency, systemic, due to defect in renal reabsorption of carnitine;"
2682,Hemangioma,same,"Systemic primary carnitine deficiency; Carnitine uptake defect; Carnitine deficiency, systemic, due to defect in renal reabsorption of carnitine;"
2683,Myeloproliferative disorder,same,"Systemic primary carnitine deficiency; Carnitine uptake defect; Carnitine deficiency, systemic, due to defect in renal reabsorption of carnitine;"
2684,Pulmonary artery hypoplasia,same,"Gastric leiomyosarcoma, pulmonary chondroma, and extraadrenal paraganglioma"
2685,Abnormal testis morphology,same,Carney-Stratakis syndrome; Paraganglioma and gastrointestinal stromal tumor; Paraganglioma and GIST;
2686,Agonadism,same,Carney-Stratakis syndrome; Paraganglioma and gastrointestinal stromal tumor; Paraganglioma and GIST;
2687,Female pseudohermaphroditism,same,"Forney Robinson Pascoe syndrome; Congenital heart disease, deafness, and skeletal malformations; Cardiospondylocarpofacial syndrome"
2688,Abnormal aortic morphology,same,"Forney Robinson Pascoe syndrome; Congenital heart disease, deafness, and skeletal malformations; Cardiospondylocarpofacial syndrome"
2689,Abnormality of the spleen,same,"Dilated cardiomyopathy, familial; Cardiomyopathy, familial dilated; Hypokinetic dilated cardiomyopathy, familial"
2690,Asymmetric growth,same,"Dilated cardiomyopathy, familial; Cardiomyopathy, familial dilated; Hypokinetic dilated cardiomyopathy, familial"
2691,Sudden cardiac death,same,"Dilated cardiomyopathy, familial; Cardiomyopathy, familial dilated; Hypokinetic dilated cardiomyopathy, familial"
2692,Cystic angiomatosis of bone,same,Carvajal syndrome; Palmoplantar keratoderma with left ventricular cardiomyopathy and woolly hair; Epidermolytic palmoplantar keratoderma woolly hair and dilated cardiomyopathy;
2693,Decreased serum leptin,same,Carvajal syndrome; Palmoplantar keratoderma with left ventricular cardiomyopathy and woolly hair; Epidermolytic palmoplantar keratoderma woolly hair and dilated cardiomyopathy;
2694,Generalized muscular appearance from birth,same,Cardiomyopathy and cataract; Cataract and cardiomyopathy; cardiomyopathic mitochondrial DNA depletion syndrome 10;
2695,Insulin-resistant diabetes mellitus at puberty,same,"Lentigines, Electrocardiographic conduction abnormalities, Ocular hypertelorism, Pulmonic stenosis, Abnormal genitalia, Retardation of growth, Deafnes; Multiple lentigines syndrome; Cardiomyopathic lentiginosis;"
2696,Labial hypertrophy,same,Cardiogenital syndrome; Najjar syndrome; Malouf syndrome;
2697,Reduced intraabdominal adipose tissue,same,CFC syndrome; Congenital heart defects characteristic facial appearance ectodermal abnormalities and growth failure; Cardio-facio-cutaneous syndrome
2698,Reduced intrathoracic adipose tissue,same,CFC syndrome; Congenital heart defects characteristic facial appearance ectodermal abnormalities and growth failure; Cardio-facio-cutaneous syndrome
2699,Reduced subcutaneous adipose tissue,same,CFC syndrome; Congenital heart defects characteristic facial appearance ectodermal abnormalities and growth failure; Cardio-facio-cutaneous syndrome
2700,Aniridia,same,CFC syndrome; Congenital heart defects characteristic facial appearance ectodermal abnormalities and growth failure; Cardio-facio-cutaneous syndrome
2701,Aplasia/Hypoplasia of the iris,same,"Pfeiffer cardiocranial syndrome; Craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis; Pfeiffer Singer Zschiesche syndrome;"
2702,Abnormal vagina morphology,same,"Pfeiffer cardiocranial syndrome; Craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis; Pfeiffer Singer Zschiesche syndrome;"
2703,Displacement of the urethral meatus,same,"Pfeiffer cardiocranial syndrome; Craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis; Pfeiffer Singer Zschiesche syndrome;"
2704,Hearing abnormality,same,"Pfeiffer cardiocranial syndrome; Craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis; Pfeiffer Singer Zschiesche syndrome;"
2705,Nephroblastoma,same,"Pfeiffer cardiocranial syndrome; Craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis; Pfeiffer Singer Zschiesche syndrome;"
2706,Streak ovary,same,Sanchez Cascos cardioauditory syndrome
2707,Dysfunction of lateral corticospinal tracts,same,"JLNS1; Deafness, congenital, and functional heart disease; Prolonged QT interval in EKG and sudden death;"
2708,Gonadoblastoma,same,"JLNS1; Deafness, congenital, and functional heart disease; Prolonged QT interval in EKG and sudden death;"
2709,Contiguous gene syndrome,same,"EDS, cardiac valvular type; EHLERS-DANLOS SYNDROME, AUTOSOMAL RECESSIVE, CARDIAC VALVULAR FORM; Ehlers-Danlos syndrome, cardiac valvular type;"
2710,Leukemia,same,"EDS, cardiac valvular type; EHLERS-DANLOS SYNDROME, AUTOSOMAL RECESSIVE, CARDIAC VALVULAR FORM; Ehlers-Danlos syndrome, cardiac valvular type;"
2711,"Intellectual disability, profound",same,"EDS, cardiac valvular type; EHLERS-DANLOS SYNDROME, AUTOSOMAL RECESSIVE, CARDIAC VALVULAR FORM; Ehlers-Danlos syndrome, cardiac valvular type;"
2712,Multifocal cerebral white matter abnormalities,same,"Merkel cell cancer; Merkle tumors; Carcinoma, merkel cell;"
2713,Chilblains,same,"Merkel cell cancer; Merkle tumors; Carcinoma, merkel cell;"
2714,Chronic CSF lymphocytosis,same,"Merkel cell cancer; Merkle tumors; Carcinoma, merkel cell;"
2715,Extrapyramidal muscular rigidity,same,"Merkel cell cancer; Merkle tumors; Carcinoma, merkel cell;"
2716,Increased CSF interferon alpha,same,"Merkel cell cancer; Merkle tumors; Carcinoma, merkel cell;"
2717,Increased serum interferon-gamma level,same,"Merkel cell cancer; Merkle tumors; Carcinoma, merkel cell;"
2718,Large beaked nose,same,CDG; Carbohydrate-deficient glycoprotein syndromes; Congenital disorder of glycosylation
2719,Demyelinating peripheral neuropathy,same,CDG 1B; CDG1B; Carbohydrate-deficient glycoprotein syndrome type 1B;
2720,Neonatal alloimmune thrombocytopenia,same,Glucose galactose malabsorption deficiency; Carbohydrate intolerance of glucose galactose; Complex carbohydrate intolerance;
2721,Antiphospholipid antibody positivity,same,Carbohydrate inducible hyperlipemia; Familial type IV hyperlipoproteinemia
2722,Basal ganglia calcification,same,Carbohydrate inducible hyperlipemia; Familial type IV hyperlipoproteinemia
2723,Calcification of the aorta,same,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy; CDG1Y ; CDG IY;"
2724,Chronic lymphatic leukemia,same,Congenital muscular dystrophy with intellectual disability and severe epilepsy; CDG syndrome type Iu; CDG-Iu;
2725,Degeneration of the striatum,same,Congenital muscular dystrophy with intellectual disability and severe epilepsy; CDG syndrome type Iu; CDG-Iu;
2726,Enchondroma,same,"Congenital disorder of glycosylation, type Io ; CDG Io; CDGIo;"
2727,Moyamoya phenomenon,same,"CDG syndrome type In; Congenital disorder of glycosylation, type In ; CDG-In;"
2728,Myositis,same,"Congenital disorder of glycosylation, type Im ; CDG Im; CDGIm;"
